,Name,Email
44,AMANA Beachwear                            KLG,info@amanabeachwear.com
45,Nordic Flow                            GmbH & Co. KG,namaste@chakrana.world
46,Modibodi                            Limited,info@modibodi.com
47,RADIAN                            Design,contact@radian-design.com
48,Bon + Berg                            Bon and Berg Ltd,hello@bonandberg.com
49,changemaking.now                            Einzelunternehmen,info@changemakingnow.com
50,Tiny Wild Hearts                             e.U.,office@tinywildhearts.com
51,VOLANS Swimwear                            GmbH,info@volans.ch
52,modabilé                            OHG,info@modabile.de
53,Jojeco                            GmbH,shop@jojeco.de
54,RH Royal Horsemen                            GmbH,info@royalhorsemen.de
55,Pikfine                            GmbH,service@pikfine.de
56,Awearable                            GmbH,contact@awearable.eu
57,Sanna Lindström                            GmbH,hej@sannalindstroem.de
58,Givn Berlin                            Stoffbruch Fair Fashion GmbH,info@givnberlin.com
59,toolly                            Einzelunternehmen,tomo@toolly.de
60,Marin et Marine                             GBR,hello@marinetmarine.com
61,Jurtenleder                            UG,info@jurtenleder.com
62,Pantolinos Manufaktur                             GmbH,info@pantolinos.de
63,Lila Lämmchen                            GmbH,service@lilalaemmchen-shop.de
64,Engel                            GmbH,info@engel-natur.de
65,KATTUN-Stoffe.de                            Einzelunternehmen,info@kattun-stoffe.de
66,Naturzwerge Kindermode                            Einzelunternehmen,info@naturzwerge-kindermode.de
67,Cottonbudbaby                            Relenda GmbH,service@cottonbudbaby.com
68,petit cochon Manufaktur                             GmbH,kontakt@petit-co.com
69,Hug & Grow                            e. K.,hallo@hug-and-grow.de
70,Wecando Group Großhandels                            GmbH,mail@vuelove-shop.de
71,Orbasics                            GmbH,hi@orbasics.com
72,Kalima                            Einzelunternehmen,info@kalima-design.de
73,m23 sports & fashion                            UG (haftungsbeschränkt),info@m23.store
74,pos.sei.mo Marianne Birkenfeld                            Einzelfirma,info@posseimo.de
75,QWSTION                            AG,wecare@qwstion.com
76,Living Crafts                            GmbH & Co. KG,info@livingcrafts.de
77,Rheinufer                            e.K.,service@rheinufer.net
78,Vegamina                            Einzelunternehmen,info@vegamina.de
79,fairtragen                            GmbH,kontakt@fairtragen.de
80,dedics                            UG,info@evidend.de
81,Spangeltangel (Peggy Albrecht Diplomdesignerin)                            Einzelunternehmen,info@spangeltangel.de
82,SALZWASSER                            GmbH,info@salzwasser.eu
83,TRANQUILLO                            GmbH,info@tranquillo-shop.de
84,MONTREET                            EPU,office@montreet.net
85,Kiglu                             GmbH,hallo@kiglu.de
86,anlovia-oh so wooly                            einzelunternehmen,info@anlovia-wolle.de
87,Kaipara - Merino Sportswear                            GmbH,info@kaipara.de
88,Kultgut                            GbR,kultgut@mail.de
89,GIRO - LIVE FOR THIS                            GmbH,info@giro-sports.com
90,WeeDo funwear GmbH                            GmbH,sales@weedo.de
91,Waschbär GmbH                            GmbH,kundenservice@waschbaer.de
92,NOAH - Italian Vegan Shoes                            Einzelunternehmer,contact@noah-shop.com
93,WeltPartner eG                            eingetragene Genossenschaft,info@weltpartner.de
94,ALPIN LOACKER GmbH                            GmbH,felix@alpinloacker.at
95,Kulmine                            e. K.,post@kulmine.de
96,Wollstube am Lesumer Bahnhof                            Einzelhandel,janssen@wollstube-bremen.de
97,Stadelmann Natur                            GbR,info@stadelmann-natur.de
98,MIRRORMONKEY                            Einzelunternehmen,mail@mirror-monkey.de
99,MyJama                            Einzelunternehmen,info@myjama.de
100,Doghammer                             GmbH,team@doghammer.de
101,Sterntaler                            GmbH,service@sterntaler.com
102,Dillysocks                            AG,contact@dillysocks.com
103,iQ Company                            AG,info@iq-uv.com
104,Carney                            GmbH & Co. KG,info@orangenkinder.de
105,soleash                            e.U.,kontakt@soleash.com
106,Barbara Betz & Volker Prößdorf                             GbR,info@magadi.de
107,HULKER EUROPE DISTRIBUTION                            s.r.o.,info@ragwear.com
108,maesh                             Gmbh,hellol@maesh.de
109,LANIUS                            GmbH,shop@lanius.com
110,vierfreunde                            GmbH,fraguns@kerbholz.com
111,Mey                            GmbH & Co. KG,info@mey.com
112,Wichtelkidz                            Einzelunternehmen,info@wichtelkidz.de
113,Sole Runner                            Einzelunternehmen,info@sole-runner.com
114,VON KRONBERG                            KG,info@von-kronberg.com
115,GOOD WILHELM - Clemens Burkert                            Einzelunternehmen,mail@goodwilhelm.com
116,bijoo Kautschuk Schmuck                            Einzelunternehmer,michael.niedermoser@gmail.com
117,simply love it.                            Einzelunternehmen,jule@simplyloveit.de
118,Avocado Store GmbH                            GmbH,info@avocadostore.de
119,anmila sportswear,contact@anmila.de
120,hessnatur                            Hess Natur-Textilien GmbH,dialog@hess-natur.de
121,pure-tex                            GmbH,mail@pure-pure.de
122,promavis - BIObay.de                            GmbH,info@biobay.de
123,entire stories                             GmbH,elena@entire-stories.com
124,Lilienthal Berlin                            GmbH,press@lilienthal.berlin
125,lille mus                            Einzelunternehmen von Lara Fischer,hej@lille-mus.de
126,moekafashion                            Einzelunternehmen,info.moekafashion@gmail.com
127,CONTIGO Fairtrade                            GmbH,info@contigo.de
128,bleed clothing                            GmbH,info@bleed-clothing.com
129,"Many Mornings                            Adrian Morawiak, Maciej Butkowski sp. k.",hello@manymornings.com
130,Secrid                            B.V.,info@secrid.com
131,Crawl & Clay                            GmbH,info@crawlandclay.com
132,SURU STUDIOS®                            created by Colombus Textilvertrieb GmbH,info@surustudios.com
133,DETTO FATTO                            Bay City Textilhandels GmbH,dettofatto-shop@fashioncenter.net
134,Senmotic 1.0                            OHG,info@senmotic-shoes.eu
135,MOANINA                            Einzelunternehmen,kontakt@moanina.com
136,VIDAR Sport                            GmbH,team@vidar-sport.de
137,WOTE                            GmbH,hello@the-wote.com
138,littlegreenie                            OHG,info@littlegreenie.de
139,Clockwood - Sven Erik Stando                            Einzelunternehmung,sven@clockwood.net
140,Green Cotton Group Germany                             GmbH,info@bygreencotton.de
141,Le Shop Vegan                            LSV GmbH,info@leshopvegan.de
142,WAYKS                            / Lefas Fashion GmbH,hellowayks.com
143,PureKidz                            Einzelunternehmen,info@purekidz.de
144,KONTOR 1710                            ac.concept GmbH & Co. KG,info@kontor1710.de
145,fuxandfriends                            Einzelunternehmen,info@fuxandfriends.de
146,Antonia Berndt & Julia Meinert                            GbR,info@antoniaberndt.de
147,ZIMMER Fahrradtaschen                            RAFU + ZIMMER OHG,mail@zimmer-taschen.de
148,AIRPAQ                            GmbH,presse@airpaq.de
149,avesu                            GmbH,avesu@avesu.de
150,ConvenientStyle                            Einzelunternehmen,info@convenientstyle.de
151,Samarali                            GmbH,info@samarali.eu
152,lindegger. KUESS die BRAUT                            GmbH,mail@kuessdiebraut.de
153,melovely                            GmbH & Co. KG,office@melovely.de
154,Designmob                            Verein in Gründung,kontakt@designmob.de
155,Ambiletics                            GmbH,hello@ambiletics.com
156,Lebenskleidung                            GbR,info@lebenskleidung.com
157,Dear Darling Berlin                            Einzelunternehmen,hallo@deardarling.berlin
158,Picopoc                            Einzelunternehmen,info@picopoc.com
159,Hirschkind                            supermarché Fair Fashion GmbH,info@hirschkind.de
160,supermarché Fair Fashion                            GmbH,info@supermarche-berlin.de
161,vincente®                            Einzelunternehmen,info@vincente.de
162,Biostoffe-Berlin by Julie Cocon                            Einzelunternehmen,info@juliecocon.de
163,SNUGATA organic kidswear                            Einzelunternehmerin,post@snugata.de
164,WiDDA - Sabine Kelle                            Einzelunternehmen,info@widda-berlin.de
165,Lasalina                            Einzelunternehmen,mail@lasalina.de
166,LOVECO                            GmbH,hello@loveco-shop.de
167,The Fair Cottage                            Einzelhandeln,info@thefaircottage.com
168,kula                            Einzelunternehmen,info@kula.shoes
169,ORONDA Fair Trade Goldschmiede ....                            Stefanie Holtz und Jürgen Krause GbR,post@oronda.de
170,t7berlin                            Einzelkauffrau,lp@t7berlin.com
171,Suit For Good                            BABAKOTO UG,hello@suitsforgood.com
172,CharLe - sustainable kids fashion                            Einzelunternehmen,info@charle-berlin.de
173,CARBASA - Segeltuchtaschen                            Personengesellschaft,info@carbasa.com
174,HUMANA Kleidersammlung                            GmbH,info@humana-kleidersammlung.de
175,Bonjour Sérénité                            Einzelunternehmen,bonjour@bonjourserenite.com
176,Schelchen                            GmbH,info@pedag.de
177,Frija Omina                            Einzelunternehmen,mail@frija-omina.com
178,slowli                            - Fair Fashion,hey@slowli.de
179,Deepmello                            UG,info@deepmello.de
180,Greenbomb                            Ethifashion GmbH,info@greenbomb.de
181,Mrs.Hippie                            GmbH,knauschner@geh-bunt.de
182,little kiwi                            Einzelunternehmer,info@little-kiwi.de
183,hukkepack                            Einzelhandel,hallo@hukkepack.de
184,karlskopf                            UG (haftungsbeschränkt),info@karlskopf.net
185,Jill Green                            GmbH,info@jillgreen.com
186,2Chance Upcycling Design                            Einzelunternehmer,info@2chanceupcyclingdesign.de
187,SchuhSign                            GmbH&Co. KG,info@schuhsign.de
188,MBaetz                            Einzelunternehmen,hello@mbaetz.com
189,Ethletic                            GmbH,info@ethletic.com
190,"Cmig                            Charlotte & Christoph Sörman, GbR",Cmig@Cmig.se
191,INASKA                            GmbH,hello@inaska.com
192,green.in.pieces                            Einzelunternehmen,support@greeninpieces.de
193,Cocon Commerz PRIVATSACHEN                            GmbH,info@privatsachen.de
194,Julia Starp                            Modedesign,office@reichert-pr.com
195,Cotton made in Africa                            Social Business Initiative / Stiftung,info@abt-foundation.org
196,SHIRTS FOR LIFE                            GmbH,info@shirtsforlife.de
197,BELEAF                            GbR,info@beleaf.shop
198,Bracenet                            GmbH,hello@bracenet.net
199,Manitober                            GmbH,service@manitober.de
200,Paulsen Fairtitude                            GbR,hello@jesango.de
201,Etiqueta Blanca - Alpaka Mode aus nachhaltiger Produktion                            Einzelunternehmen,info@alpaka-mode.com
202,Marlowe nature - green fashion                            Einzelhandel,info@marlowe-nature.de
203,MYMARINI                            GmbH,service@mymarini.com
204,NOY Hamburg                            GbR,yannick@noy-hamburg.com
205,recolution                            GmbH & Co. KG,mail@recolution.de
206,Lena Schokolade                            Kleinunternehmer,info@lena-schokolade.de
207,MajKay |                            fair | transparent | nachhaltig,info@majkay.com
208,MÁ Hemp Wear - Felde Vertrieb                            GmbH,info@mahempwear.com
209,boochen                            Einzelunternehmen,hello@boochen.co
210,more presents                            e.K.,info@nachhaltige-baumwolltaschen.de
211,Derbe                            e.K.,info@derbe-hamburg.de
212,Mondkind von Fesche                            Einzelunternehmen,mondkindvonfesche@gmail.com
213,8bft fashion-evolution                            GmbH,kontakt@8bft.hamburg
214,"dieLOGOgmbh, Agentur für Kunst und Kommunikation                            GmbH",wir@dieLOGOgmbh.de
215,Filigrana Schmuck - Individual Design Products                            UG,info@filigrana-schmuck.de
216,soki Label & Store                            Einzelunternehmen,info@soki-store.de
217,ALEXASCHA Design Studio                            GmbH,info@alexascha.de
218,like a bird lifestyle                            GmbH,info@like-a-bird.de
219,"manbefair.com, Inh. Selma Müller                            Einzelfirma",info@manbefair.com
220,Le Pirol                            GmbH,Hello@lepirol.com
221,mamalila                            GmbH,info@mamalila.de
222,JuliaPilot.de / Reflectstar                            GmbH,wirhelfen@juliapilot.com
223,Sandstrasse                            (Person),info@sandstrasse.com
224,Gudrun Sjödén                            GmbH,info@gudrunsjoeden.de
225,roots of compassion                            eG,info@rootsofcompassion.org
226,SAY time                            GbR,info@say-time.com
227,KaisuMari                            Einzelkauffrau,info@kaisumari.de
228,WEITBLICK®                            GmbH & Co. KG,service@weitblick.vision
229,Harold's Lederwaren                            GmbH,kontakt@harolds-bags.com
230,FairBleiben                            Einzelunternehmen,nachricht@fairbleiben.com
231,WePack                            UG (haftungsbeschränkt),hello@wepack.bio
232,Hohenloher Wolle                            GmbH,info@schoppel-wolle.de
233,Angels Ambition                            BTQS Schönbuchner GbR,kontakt@angels-ambition.de
234,Jack Wolfskin Ausrüstung für Draußen                            GmbH & Co. KGaA,info@jack-wolfskin.com
235,NATIVE SOULS organic-fair-fashion                            Einzelunternehmung,info@nativesouls.de
236,Sperling                            GbR,service@sperling-bags.com
237,Blaumann-Jeanshosen                             GmbH,guido@blaumann-jeanshosen.de
238,People Wear Organic                            GmbH,mail@peoplewearorganic.de
239,Schuh & Mode Kipp                            Einzelhandelsgesellschaft,info@kipp-schuhe.de
240,Human Family                            GbR,info@human-family.com
241,Africulture                            GbR,info@africulture.de
242,Think! Schuhwerk                            GmbH,manuela.schediwy@legero-united.com
243,Ehrenkind                            formbench GmbH,info@formbench.com
244,Ulalü - Ulla Lüer Modedesign                            Einzelunternehmen,info@ulalue.de
245,diejuju                            Einzelunternehmen,info@diejuju.de
246,Róka - fair clothing                            Einzelunternehmen,info@roka-fairclothing.de
247,skarabea                            Einzelunternehmen,hello@skarabea.de
248,KHAFFEE - Taschen ohne Plastik                            Einzelunternehmen,info@khaffee.de
249,Anna und Paul                            GmbH,email@annaundpaul.de
250,BUDEVI                            GbR,halina@budevi.com
251,emma & noah                            Emma & noah GmbH,flaschenpost@emmanoah.com
252,Dailybread                            GmbH,info@dailybread.eu
253,KAYA&KATO                            GmbH,info@kaya-kato.de
254,Sneakers Unplugged                            Einzelunternehmen,hello@sneakers-unplugged.de
255,MATES OF NATURE                            // Sahler & Moore GbR,info@matesofnature.com
256,Fremdformat                            Einzelunternehmen,info@fremdformat.de
257,fejn jewelry                            Einzelunternehmen,info@fejn.com
258,livingResponsible                            SOCIAL² UG (haftungsbeschränkt),service@livingresponsible.de
259,FOND OF                            GmbH,info@fondof.de
260,ARMEDANGELS                            GmbH,shop@armedangels.com
261,dressgoat                            GbR,support@dressgoat.de
262,PHYNE                            GmbH,kontakt@phyne.com
263,Vorfreude                            GmbH,fraguns@erlich-textil.de
264,DAILY'S NOTHING'S BETTER                            GmbH,online@dailysnothingsbetter.com
265,Feuerwear                            GmbH & Co. KG,info@feuerwear.de
266,Taynie                            Einzelunternehmen,info@taynie.de
267,Greenpicks                            Einzelunternehmen,kontakt@greenpicks.de
268,Sinfinis - FTS Fair Trade Shop                            GmbH,leonie@sinfinis.de
269,Belle Ikat                             UG,info@belleikat.de
270,Blümchen Stoffwindel GmbH                            GmbH,office@stoffwindelcompany.at
271,Deuter Sport                             GmbH,info@deuter.com
272,PAPERO®                            Einzelunternehmer,info@yesmarketing.de
273,GreenFeet                            Einzelunternehmen,Info@Einlagen-Shop.com
274,Dilling Unterwäsche                            A/S,Kundenservice@dilling-unterwaesche.de
275,Moyakora                            Einzelunternehmer,contact@moyakora.de
276,"Nordwärts                            | Tietz, Sperling und Herrlein GbR",info@nordwarts.de
277,pajama-day                            e.U.,info@pajama-day.com
278,Cannamoda Textilien aus Hanf                            Einzelfirma,p.rusch@cannamoda.de
279,denkefair                            Einzelunternehmen,info@denkefair.de
280,gotsutsumu                            GmbH,info@gotsutsumu.de
281,karokönig ecotailoring                            Einzelunternehmen,"hello@karokoenig,com"
282,KorkAllee.de                            GmbH,service@korkallee.de
283,Bamigo                            GmbH,info@bamigo.de
284,be free® stuff                            UG,info@befree.shoes
285,OGNX                            GmbH,contact@ognx.com
286,CÉLINE VOGEL                            Einzelunternehmen,celine_vogel[at]gmx.de
287,SANVT                            GmbH,care@sanvt.com
288,Liapure Design Studio                            Einzelunternehmen,contact@liapure.de
289,ThokkThokk                            GmbH & Co. KG,support@thokkthokk.com
290,PLANETICS                            UG,support@planetics.de
291,Kipepeo-Clothing                            Einzelunternehmen,info@kipepeo-clothing.com
292,YOU LOOK PERFECT                            Inh. Sandra Milacher,info@youlookperfect.at
293,Lori                            Einzelunternehmer,info@lori-welt.de
294,Schöffel Sportbekleidung                             GmbH,presse@schoeffel.de
295,mantrafant                            GmbH,team@mantrafant.com
296,Schnuffelinis                            Einzelunternehmen,service@schnuffelinis.de
297,ORAIN                            GmbH,office@raincombi.at
298,Martin Guthmann Schmuckmanufaktur seit 1906                            e.K.,martin@guthmann.com
299,Jürgen Brand - Fair Fashion Manufactured in Austria                            Einzelunternehmen,juergen@juergenbrand.com
300,Nura Kassoume                            Einzelhandel,office@aurinshop.at
301,Schauraum für angewandte Kunst                            Einzelunternehmen,office@schauraum.at
302,Mama Ocllo Import                            UG (haftungsbeschränkt),martina@chillnfeel.com
303,Daniela Paradeis                            EPU,info@danielaparadeis.com
304,GREEN SHIRTS                            EG,service@green-shirts.com
305,COTONEA                            Gebr. Elmer & Zweifel GmbH & Co. KG,info@cotonea.de
306,Waldorfshop - Universnatur                             GmbH,kundenservice@waldorfshop.eu
307,burggrafburggraf                            // Burggraf Burggraf-Reusch GbR,info@burggrafburggraf.de
308,KOKOworld                            Einzelunternehmen,hello@kokoworld.de
309,Soulcover                            Kleinunternehmer,kontakt@soulcover-clothing.de
310,respecca handel.t                            Einzelunternehmen,shop@respecca.com
311,VAPUS.organics by Punya                            GmbH,info@vapus.org
312,LDP Homemade                            e.U.,hello@ldp-homemade.de
313,Speidel                            GmbH,info@speidelshop.com
314,Infinite Running                            GmbH,info@infinite-running.de
315,LOVJOI Organic Clothing                            GmbH,info@lovjoi.com
316,Wollerei                            Einzelunternehmen,shop@wollerei.at
317,ResTasch                            Handgenähte Jeanstaschen aus Österreich,restasch@chello.at
318,Ompura                            GmbH,service@ompura.com
319,Comazo                            GmbH & Co.KG,info@comazo.de
320,Project Cece                            NL: Vennootschap onder firma,info@projectcece.nl
321,Schäfereigenossenschaft Finkhof                            eG,info@finkhof.de
322,King Louie                            - Vintage inspirietre Mode aus Amsterdam,onlineshop@kinglouie.de
323,Robin                             | hochgrat textil GmbH,hello@robin-shop.com
324,VAUDE Sport                            GmbH & Co.KG,sustainability@vaude.com
325,M-KA                            Kleinunternehmer,info@mka-kreativ.de
326,BRUNA the Label                            GmbH,hello@brunathelabel.com
327,AURHEN ecofair                            Einzelunternehmen,info@aurhen.de
328,AlpacaOne                            GmbH,info@alpacaone.de
329,3FREUNDE                            Einzelfirma,info@3freunde.com
330,Iron Roots                            VOF,info@ironroots.nl
331,Coa Coa / Ursula Piber & Ines Häfner                             GbR,ines@coagoa.com
332,zündstoff - fair organic clothing                            GbR,info@zuendstoff-clothing.de
333,Laimer                            GmbH,info@laimer.bz
334,Edeltruhe                            - kreativ und individuell,edeltruhe@edeltruhe.de
335,Korkeria | Aus Kork. Für Dich.,shop@korkeria.ch
